52
 N° | PC    Instrucción [RegA|RegB]
----------------------------------
0001|0000   MOV B,6    [0000|0006]
0002|0001   MOV (0),B  [0000|0006]
0003|0002   MOV B,7    [0000|0007]
0004|0003   MOV (1),B  [0000|0007]
0005|0004   MOV B,0    [0000|0000]
0006|0005   MOV (2),B  [0000|0000]
0007|0006   MOV B,0    [0000|0000]
0008|0007   MOV A,(0)  [0006|0000]
0009|0008   CMP A,0    [0006|0000]
0010|0009   JEQ 21     [0006|0000]
0011|0010   AND A,1    [0000|0000]
0012|0011   CMP A,0    [0000|0000]
0013|0012   JEQ 16     [0000|0000]
0014|0016   MOV A,(0)  [0006|0000]
0015|0017   SHR (0)    [0006|0000]
0016|0018   MOV A,(1)  [0007|0000]
0017|0019   SHL (1)    [0007|0000]
0018|0020   JMP 7      [0007|0000]
0019|0007   MOV A,(0)  [0003|0000]
0020|0008   CMP A,0    [0003|0000]
0021|0009   JEQ 21     [0003|0000]
0022|0010   AND A,1    [0001|0000]
0023|0011   CMP A,0    [0001|0000]
0024|0012   JEQ 16     [0001|0000]
0025|0013   MOV A,(2)  [0000|0000]
0026|0014   MOV B,(1)  [0000|000E]
0027|0015   ADD (2)    [0000|000E]
0028|0016   MOV A,(0)  [0003|000E]
0029|0017   SHR (0)    [0003|000E]
0030|0018   MOV A,(1)  [000E|000E]
0031|0019   SHL (1)    [000E|000E]
0032|0020   JMP 7      [000E|000E]
0033|0007   MOV A,(0)  [0001|000E]
0034|0008   CMP A,0    [0001|000E]
0035|0009   JEQ 21     [0001|000E]
0036|0010   AND A,1    [0001|000E]
0037|0011   CMP A,0    [0001|000E]
0038|0012   JEQ 16     [0001|000E]
0039|0013   MOV A,(2)  [000E|000E]
0040|0014   MOV B,(1)  [000E|001C]
0041|0015   ADD (2)    [000E|001C]
0042|0016   MOV A,(0)  [0001|001C]
0043|0017   SHR (0)    [0001|001C]
0044|0018   MOV A,(1)  [001C|001C]
0045|0019   SHL (1)    [001C|001C]
0046|0020   JMP 7      [001C|001C]
0047|0007   MOV A,(0)  [0000|001C]
0048|0008   CMP A,0    [0000|001C]
0049|0009   JEQ 21     [0000|001C]
0050|0021   JMP 21     [0000|001C]
