84
 N° | PC    Instrucción [RegA|RegB]
----------------------------------
0001|0000   MOV B,6    [0000|0006]
0002|0001   MOV (0),B  [0000|0006]
0003|0002   MOV B,1    [0000|0001]
0004|0003   MOV (1),B  [0000|0001]
0005|0004   MOV B,1    [0000|0001]
0006|0005   MOV (2),B  [0000|0001]
0007|0006   MOV B,2    [0000|0002]
0008|0007   MOV (3),B  [0000|0002]
0009|0008   MOV B,3    [0000|0003]
0010|0009   MOV (4),B  [0000|0003]
0011|0010   MOV B,5    [0000|0005]
0012|0011   MOV (5),B  [0000|0005]
0013|0012   MOV B,6    [0000|0006]
0014|0013   MOV (6),B  [0000|0006]
0015|0014   MOV B,0    [0000|0000]
0016|0015   MOV (7),B  [0000|0000]
0017|0016   MOV B,0    [0000|0000]
0018|0017   MOV B,1    [0000|0001]
0019|0018   MOV A,(0)  [0006|0001]
0020|0019   CMP A,0    [0006|0001]
0021|0020   JEQ 29     [0006|0001]
0022|0021   MOV A,(7)  [0000|0001]
0023|0022   ADD A,(B)  [0001|0001]
0024|0023   MOV (7),A  [0001|0001]
0025|0024   INC B      [0001|0002]
0026|0025   MOV A,(0)  [0006|0002]
0027|0026   SUB A,1    [0005|0002]
0028|0027   MOV (0),A  [0005|0002]
0029|0028   JMP 19     [0005|0002]
0030|0019   CMP A,0    [0005|0002]
0031|0020   JEQ 29     [0005|0002]
0032|0021   MOV A,(7)  [0001|0002]
0033|0022   ADD A,(B)  [0002|0002]
0034|0023   MOV (7),A  [0002|0002]
0035|0024   INC B      [0002|0003]
0036|0025   MOV A,(0)  [0005|0003]
0037|0026   SUB A,1    [0004|0003]
0038|0027   MOV (0),A  [0004|0003]
0039|0028   JMP 19     [0004|0003]
0040|0019   CMP A,0    [0004|0003]
0041|0020   JEQ 29     [0004|0003]
0042|0021   MOV A,(7)  [0002|0003]
0043|0022   ADD A,(B)  [0004|0003]
0044|0023   MOV (7),A  [0004|0003]
0045|0024   INC B      [0004|0004]
0046|0025   MOV A,(0)  [0004|0004]
0047|0026   SUB A,1    [0003|0004]
0048|0027   MOV (0),A  [0003|0004]
0049|0028   JMP 19     [0003|0004]
0050|0019   CMP A,0    [0003|0004]
0051|0020   JEQ 29     [0003|0004]
0052|0021   MOV A,(7)  [0004|0004]
0053|0022   ADD A,(B)  [0007|0004]
0054|0023   MOV (7),A  [0007|0004]
0055|0024   INC B      [0007|0005]
0056|0025   MOV A,(0)  [0003|0005]
0057|0026   SUB A,1    [0002|0005]
0058|0027   MOV (0),A  [0002|0005]
0059|0028   JMP 19     [0002|0005]
0060|0019   CMP A,0    [0002|0005]
0061|0020   JEQ 29     [0002|0005]
0062|0021   MOV A,(7)  [0007|0005]
0063|0022   ADD A,(B)  [000C|0005]
0064|0023   MOV (7),A  [000C|0005]
0065|0024   INC B      [000C|0006]
0066|0025   MOV A,(0)  [0002|0006]
0067|0026   SUB A,1    [0001|0006]
0068|0027   MOV (0),A  [0001|0006]
0069|0028   JMP 19     [0001|0006]
0070|0019   CMP A,0    [0001|0006]
0071|0020   JEQ 29     [0001|0006]
0072|0021   MOV A,(7)  [000C|0006]
0073|0022   ADD A,(B)  [0012|0006]
0074|0023   MOV (7),A  [0012|0006]
0075|0024   INC B      [0012|0007]
0076|0025   MOV A,(0)  [0001|0007]
0077|0026   SUB A,1    [0000|0007]
0078|0027   MOV (0),A  [0000|0007]
0079|0028   JMP 19     [0000|0007]
0080|0019   CMP A,0    [0000|0007]
0081|0020   JEQ 29     [0000|0007]
0082|0029   JMP 29     [0000|0007]
